ValidStart,hasDry_pre,bound
6/2/20,18.70566597,prediction
6/9/20,19.79645759,prediction
6/16/20,22.88958017,prediction
6/23/20,29.74630973,prediction
6/30/20,29.36456258,prediction
7/7/20,29.91236014,prediction
7/14/20,35.92028449,prediction
7/21/20,39.13726745,prediction
7/28/20,45.07331199,prediction
8/4/20,45.7909986,prediction
8/11/20,35.43734328,prediction
8/18/20,33.61525733,prediction
8/25/20,32.65181298,prediction
9/1/20,38.35930572,prediction
6/2/20,14.89283844,lower
6/9/20,16.07515611,lower
6/16/20,18.93030442,lower
6/23/20,26.16709176,lower
6/30/20,25.89255038,lower
7/7/20,26.33457804,lower
7/14/20,32.09869692,lower
7/21/20,35.34296463,lower
7/28/20,41.18340494,lower
8/4/20,42.02079154,lower
8/11/20,31.59627787,lower
8/18/20,29.96931861,lower
8/25/20,28.47631517,lower
9/1/20,34.57027852,lower
6/2/20,22.40194887,upper
6/9/20,23.46369035,upper
6/16/20,26.54058024,upper
6/23/20,33.61868556,upper
6/30/20,33.31060064,upper
7/7/20,33.91000059,upper
7/14/20,39.54418814,upper
7/21/20,42.67962877,upper
7/28/20,48.82772806,upper
8/4/20,49.70214598,upper
8/11/20,39.11723176,upper
8/18/20,37.31812051,upper
8/25/20,36.34102866,upper
9/1/20,41.66783838,upper
6/2/20,19.70963964,actual
6/9/20,22.05982293,actual
6/16/20,28.45557627,actual
6/23/20,30.10860826,actual
6/30/20,31.05881019,actual
7/7/20,35.65262193,actual
7/14/20,38.46927928,actual
7/21/20,43.53169618,actual
7/28/20,45.77666356,actual
8/4/20,38.8409009,actual
8/11/20,36.4402361,actual
8/18/20,34.89243865,actual
8/25/20,38.26312519,actual
9/1/20,37.13620068,actual
